database_name	LIPIDMAPS
database_version	18Mar14
626.491026	C40H66O5	LMFA00000001
275.173274	C13H25NO5	LMFA00000002
638.559774	C38H74N2O5	LMFA00000003
406.283158	C23H38N2O4	LMFA00000004
625.52814	C37H71NO6	LMFA00000005
684.565254	C39H76N2O7	LMFA00000006
187.157229	C10H21NO2	LMFA00000007
396.227693	C18H37O7P	LMFA00000008
244.178693	C12H24N2O3	LMFA00000009
347.282429	C22H37NO2	LMFA00000014
837.561565	C47H75N5O8	LMFA00000015
502.263416	C22H46O8S2	LMFA00000016
536.224444	C22H45ClO8S2	LMFA00000017
570.185472	C22H44Cl2O8S2	LMFA00000018
706.029584	C22H40Cl6O8S2	LMFA00000019
672.068556	C22H41Cl5O8S2	LMFA00000020
672.068556	C22H41Cl5O8S2	LMFA00000021
570.185472	C22H44Cl2O8S2	LMFA00000022
564.255744	C24H49ClO8S2	LMFA00000023
700.099856	C24H45Cl5O8S2	LMFA00000024
734.060884	C24H44Cl6O8S2	LMFA00000025
618.127388	C24H43Cl5O5S	LMFA00000026
256.240231	C16H32O2	LMFA01010001
60.02113	C2H4O2	LMFA01010002
74.03678	C3H6O2	LMFA01010003
88.05243	C4H8O2	LMFA01010004
102.06808	C5H10O2	LMFA01010005
116.08373	C6H12O2	LMFA01010006
130.09938	C7H14O2	LMFA01010007
144.11503	C8H16O2	LMFA01010008
158.13068	C9H18O2	LMFA01010009
172.14633	C10H20O2	LMFA01010010
186.16198	C11H22O2	LMFA01010011
200.17763	C12H24O2	LMFA01010012
214.19328	C13H26O2	LMFA01010013
228.20893	C14H28O2	LMFA01010014
242.224581	C15H30O2	LMFA01010015
270.255881	C17H34O2	LMFA01010017
284.271531	C18H36O2	LMFA01010018
298.287181	C19H38O2	LMFA01010019
312.302831	C20H40O2	LMFA01010020
326.318481	C21H42O2	LMFA01010021
340.334131	C22H44O2	LMFA01010022
354.349781	C23H46O2	LMFA01010023
368.365431	C24H48O2	LMFA01010024
382.381081	C25H50O2	LMFA01010025
396.396731	C26H52O2	LMFA01010026
410.412381	C27H54O2	LMFA01010027
424.428031	C28H56O2	LMFA01010028
438.443681	C29H58O2	LMFA01010029
452.459331	C30H60O2	LMFA01010030
466.474981	C31H62O2	LMFA01010031
480.490631	C32H64O2	LMFA01010032
494.506281	C33H66O2	LMFA01010033
508.521931	C34H68O2	LMFA01010034
522.537581	C35H70O2	LMFA01010035
536.553231	C36H72O2	LMFA01010036
550.568881	C37H74O2	LMFA01010037
564.584531	C38H76O2	LMFA01010038
676.709732	C46H92O2	LMFA01010039
203.196155	C12H21(2)H3O2	LMFA01010043
231.227455	C14H25(2)H3O2	LMFA01010044
245.243105	C15H27(2)H3O2	LMFA01010045
259.258755	C16H29(2)H3O2	LMFA01010046
287.290055	C18H33(2)H3O2	LMFA01010047
273.274405	C17H31(2)H3O2	LMFA01010048
315.321355	C20H37(2)H3O2	LMFA01010049
343.352656	C22H41(2)H3O2	LMFA01010050
371.383956	C24H45(2)H3O2	LMFA01010051
399.415256	C26H49(2)H3O2	LMFA01010052
228.20893	C14H28O2	LMFA01010053
296.271531	C19H36O2	LMFA01020001
158.13068	C9H18O2	LMFA01020002
158.13068	C9H18O2	LMFA01020003
200.17763	C12H24O2	LMFA01020004
214.19328	C13H26O2	LMFA01020005
214.19328	C13H26O2	LMFA01020006
228.20893	C14H28O2	LMFA01020007
242.224581	C15H30O2	LMFA01020008
242.224581	C15H30O2	LMFA01020009
256.240231	C16H32O2	LMFA01020010
270.255881	C17H34O2	LMFA01020011
270.255881	C17H34O2	LMFA01020012
284.271531	C18H36O2	LMFA01020013
284.271531	C18H36O2	LMFA01020014
298.287181	C19H38O2	LMFA01020015
298.287181	C19H38O2	LMFA01020016
312.302831	C20H40O2	LMFA01020017
326.318481	C21H42O2	LMFA01020018
340.334131	C22H44O2	LMFA01020019
354.349781	C23H46O2	LMFA01020020
368.365431	C24H48O2	LMFA01020021
396.396731	C26H52O2	LMFA01020022
382.381081	C25H50O2	LMFA01020023
396.396731	C26H52O2	LMFA01020024
410.412381	C27H54O2	LMFA01020025
424.428031	C28H56O2	LMFA01020026
466.474981	C31H62O2	LMFA01020027
466.474981	C31H62O2	LMFA01020028
100.05243	C5H8O2	LMFA01020029
100.05243	C5H8O2	LMFA01020030
114.06808	C6H10O2	LMFA01020031
408.396731	C27H52O2	LMFA01020032
326.318481	C21H42O2	LMFA01020033
214.19328	C13H26O2	LMFA01020034
228.20893	C14H28O2	LMFA01020035
228.20893	C14H28O2	LMFA01020036
242.224581	C15H30O2	LMFA01020037
256.240231	C16H32O2	LMFA01020038
256.240231	C16H32O2	LMFA01020039
270.255881	C17H34O2	LMFA01020040
270.255881	C17H34O2	LMFA01020041
284.271531	C18H36O2	LMFA01020042
284.271531	C18H36O2	LMFA01020043
284.271531	C18H36O2	LMFA01020044
284.271531	C18H36O2	LMFA01020045
284.271531	C18H36O2	LMFA01020046
298.287181	C19H38O2	LMFA01020047
312.302831	C20H40O2	LMFA01020048
312.302831	C20H40O2	LMFA01020049
312.302831	C20H40O2	LMFA01020050
312.302831	C20H40O2	LMFA01020051
312.302831	C20H40O2	LMFA01020052
200.17763	C12H24O2	LMFA01020053
200.17763	C12H24O2	LMFA01020054
200.17763	C12H24O2	LMFA01020055
200.17763	C12H24O2	LMFA01020056
200.17763	C12H24O2	LMFA01020057
200.17763	C12H24O2	LMFA01020058
200.17763	C12H24O2	LMFA01020059
214.19328	C13H26O2	LMFA01020061
214.19328	C13H26O2	LMFA01020062
214.19328	C13H26O2	LMFA01020063
214.19328	C13H26O2	LMFA01020064
214.19328	C13H26O2	LMFA01020065
214.19328	C13H26O2	LMFA01020066
214.19328	C13H26O2	LMFA01020067
214.19328	C13H26O2	LMFA01020068
228.20893	C14H28O2	LMFA01020069
228.20893	C14H28O2	LMFA01020070
88.05243	C4H8O2	LMFA01020071
102.06808	C5H10O2	LMFA01020072
102.06808	C5H10O2	LMFA01020073
116.08373	C6H12O2	LMFA01020074
116.08373	C6H12O2	LMFA01020075
116.08373	C6H12O2	LMFA01020076
116.08373	C6H12O2	LMFA01020077
116.08373	C6H12O2	LMFA01020078
116.08373	C6H12O2	LMFA01020079
130.09938	C7H14O2	LMFA01020080
130.09938	C7H14O2	LMFA01020081
130.09938	C7H14O2	LMFA01020082
130.09938	C7H14O2	LMFA01020083
130.09938	C7H14O2	LMFA01020084
130.09938	C7H14O2	LMFA01020085
130.09938	C7H14O2	LMFA01020086
144.11503	C8H16O2	LMFA01020087
158.13068	C9H18O2	LMFA01020088
172.14633	C10H20O2	LMFA01020089
186.16198	C11H22O2	LMFA01020090
242.224581	C15H30O2	LMFA01020091
270.255881	C17H34O2	LMFA01020092
284.271531	C18H36O2	LMFA01020093
284.271531	C18H36O2	LMFA01020094
298.287181	C19H38O2	LMFA01020095
298.287181	C19H38O2	LMFA01020096
100.05243	C5H8O2	LMFA01020097
114.06808	C6H10O2	LMFA01020098
114.06808	C6H10O2	LMFA01020099
128.08373	C7H12O2	LMFA01020100
128.08373	C7H12O2	LMFA01020101
142.09938	C8H14O2	LMFA01020102
156.11503	C9H16O2	LMFA01020103
170.13068	C10H18O2	LMFA01020104
170.13068	C10H18O2	LMFA01020105
198.16198	C12H22O2	LMFA01020106
212.17763	C13H24O2	LMFA01020107
226.19328	C14H26O2	LMFA01020108
240.20893	C15H28O2	LMFA01020109
100.05243	C5H8O2	LMFA01020110
100.05243	C5H8O2	LMFA01020111
114.06808	C6H10O2	LMFA01020112
114.06808	C6H10O2	LMFA01020113
114.06808	C6H10O2	LMFA01020114
114.06808	C6H10O2	LMFA01020115
114.06808	C6H10O2	LMFA01020116
128.08373	C7H12O2	LMFA01020117
128.08373	C7H12O2	LMFA01020118
128.08373	C7H12O2	LMFA01020119
128.08373	C7H12O2	LMFA01020120
128.08373	C7H12O2	LMFA01020121
128.08373	C7H12O2	LMFA01020122
128.08373	C7H12O2	LMFA01020123
142.09938	C8H14O2	LMFA01020124
142.09938	C8H14O2	LMFA01020125
142.09938	C8H14O2	LMFA01020126
156.11503	C9H16O2	LMFA01020127
170.13068	C10H18O2	LMFA01020128
170.13068	C10H18O2	LMFA01020129
184.14633	C11H20O2	LMFA01020130
184.14633	C11H20O2	LMFA01020131
226.19328	C14H26O2	LMFA01020132
254.224581	C16H30O2	LMFA01020133
338.318481	C22H42O2	LMFA01020134
324.302831	C21H40O2	LMFA01020135
324.302831	C21H40O2	LMFA01020136
296.271531	C19H36O2	LMFA01020138
296.271531	C19H36O2	LMFA01020139
254.224581	C16H30O2	LMFA01020140
254.224581	C16H30O2	LMFA01020141
254.224581	C16H30O2	LMFA01020142
212.17763	C13H24O2	LMFA01020143
130.09938	C7H14O2	LMFA01020144
130.09938	C7H14O2	LMFA01020145
130.09938	C7H14O2	LMFA01020146
144.11503	C8H16O2	LMFA01020147
